waypoint1	waypoint2	distance_m	duration_s
Krishna Temple Devasthan, Udupi	Gokak Falls	455311	31675
Halebeedu Hoysaleswara Temple	Gokak Falls	470888	31885
Bidar	Gokak Falls	420481	30999
Bangalore Palace	Gokak Falls	571485	36796
Gokak Falls	Beluru Sri Chennakeshava Temple	487071	33131
Gokak Falls	Chitradurga Fort	373071	25212
Bijapur	Gokak Falls	149235	11556
Badami	Gokak Falls	127724	10594
Mysore Palace	Gokak Falls	599571	41692
Gokak Falls	Somnathpur	647323	41449
Gokak Falls	Pattadakal	147737	11998
Gokak Falls	Hampi	255885	22449
Gokak Falls	Bangalore Fort	580059	37672
Bellary Fort	Gokak Falls	304202	27173
Tipu Sultan's Summer Palace	Gokak Falls	580126	37650
BR Hills	Gokak Falls	687251	45723
Gokak Falls	Baba Budan Giri	470313	35274
Gokak Falls	Basavakalyan Fort	367599	29049
Gokak Falls	Horanadu Annapoorneshwari Temple	477770	35385
Kukke Subramanya Temple	Gokak Falls	580279	41186
Gokak Falls	Shivagange	532613	33845
Gokak Falls	Aihole	159556	12654
Gulbarga	Gokak Falls	301285	22880
Balmuri Falls	Gokak Falls	589614	41078
Gokak Falls	Triveni Sangama	1566948	107251
Gokak Falls	Sri Nimishambha Temple	587380	40417
Bheemeshwari	Gokak Falls	583142	37895
Shivanasamudra	Gokak Falls	646931	41669
Kumara Parvatha	Gokak Falls	581651	42004
Kundadri	Agumbe	18183	1715
Jog Falls	Agumbe	138180	10149
Agumbe	Lalguli Falls	247572	18290
Agumbe	Coorg	220485	18283
Agumbe	Hebbe Falls	151591	12773
Kalhatti Falls	Agumbe	139225	10803
Agumbe	Kemmanagundi	147903	11871
Mulliyana Giri	Agumbe	133731	12124
Agumbe	Kudremukh	78438	6142
Agumbe	Chikamagalur	112185	9433
Sathodi Falls	Agumbe	257353	20743
Agumbe	Nandi Hills	373734	26860
Agumbe	Kodachadri	88012	8841
Agumbe	Biligiri Rangaswamy Temple, BR Hills	369530	29090
Anshi National Park	Agumbe	288036	20945
Agumbe	Gudavi Bird Sanctuary	151004	11394
Agumbe	Kokkrebellur Pelicanry	334135	23256
Agumbe	Bhadra Wildlife Sanctuary	97079	7483
Ranibennur Blackbuck Sanctuary	Agumbe	179894	13934
Agumbe	Dandeli Wildlife Sanctuary	284941	21772
Ranganathittu Bird Sanctuary	Agumbe	275707	21515
Dubare Reserve Forest	Agumbe	233933	19930
Agumbe	Daroji Bear Sanctuary	297936	24123
Agumbe	Bannerghatta National Park	367259	25109
Agumbe	Rajiv Gandhi National Park	296440	23464
Agumbe	Adichunchanagiri Peacock Sanctuary	252293	18283
Bandipur National Park	Agumbe	364672	27899
Agumbe	Cauvery Wildlife Sanctuary	472434	34393
Someshwara Wildlife Sanctuary	Agumbe	19730	2060
Gokarna Beach	Agumbe	200082	15043
Agumbe	Marwanthe Beach	73922	5859
Agumbe	Karwar Beach	239769	17351
Malpe Beach	Agumbe	58816	4972
Agumbe	Suratkal Beach	94425	7400
Agumbe	Murdeshwar Beach	124801	9518
Agumbe	Dharmasthala Sri Manjunatha Swamy Temple	107488	9055
Agumbe	Kukke Subrahmanya	161863	12801
Murudeshwar Temple	Agumbe	125137	9630
Basaveshwara Temple Basavakalyan	Agumbe	651121	49287
Shree Kshethra Rajarajeshwari Temple,Polali	Agumbe	90117	7751
Bylakuppe Budda Temple	Agumbe	226994	19314
Agumbe	Talakadu	330519	25447
Agumbe	Sri Veeranarayana Swamy Temple	141835	11899
Agumbe	Sri Gavi Gangadeshwara Temple	352106	24815
Agumbe	Kotilingeshwara Temple	441152	30968
Krishna Temple Devasthan, Udupi	Agumbe	52809	4751
Halebeedu Hoysaleswara Temple	Agumbe	142768	11628
Bidar	Agumbe	704904	51370
Bangalore Palace	Agumbe	344439	24095
Agumbe	Beluru Sri Chennakeshava Temple	126678	10469
Agumbe	Chitradurga Fort	200476	14863
Bijapur	Agumbe	452556	32697
Badami	Agumbe	360468	26207
Mysore Palace	Agumbe	286082	22582
Agumbe	Somnathpur	302780	23693
Agumbe	Pattadakal	382090	27876
Agumbe	Hampi	292226	23591
Agumbe	Bangalore Fort	353014	24970
Bellary Fort	Agumbe	342337	25640
Agumbe	Tipu Sultan's Summer Palace	353080	24949
Agumbe	BR Hills	369233	29035
Agumbe	Baba Budan Giri	145194	13790
Agumbe	Basavakalyan Fort	652021	49419
Agumbe	Horanadu Annapoorneshwari Temple	68559	8140
Kukke Subramanya Temple	Agumbe	161863	12801
Agumbe	Shivagange	307299	21741
Agumbe	Aihole	395260	29012
Agumbe	Gulbarga	585707	43250
Balmuri Falls	Agumbe	276125	21968
Agumbe	Triveni Sangama	1891303	120558
Agumbe	Sri Nimishambha Temple	273891	21306
Bheemeshwari	Agumbe	356096	25193
Shivanasamudra	Agumbe	374967	26011
Agumbe	Kumara Parvatha	203187	17897
Kundadri	Jog Falls	144983	11448
Kundadri	Lalguli Falls	247703	18651
Kundadri	Coorg	238668	20005
Kundadri	Hebbe Falls	151722	13135
Kundadri	Kalhatti Falls	139356	11164
Kundadri	Kemmanagundi	148034	12233
Kundadri	Mulliyana Giri	135094	12584
Kundadri	Kudremukh	79801	6602
Kundadri	Chikamagalur	113548	9893
Kundadri	Sathodi Falls	257484	21105
Kundadri	Nandi Hills	375097	27319
Kundadri	Kodachadri	88143	9203
Kundadri	Biligiri Rangaswamy Temple, BR Hills	370893	29550
Kundadri	Anshi National Park	306219	22668
Kundadri	Gudavi Bird Sanctuary	151135	11756
Kundadri	Kokkrebellur Pelicanry	335498	23715
Kundadri	Bhadra Wildlife Sanctuary	97210	7844
Kundadri	Ranibennur Blackbuck Sanctuary	180025	14295
Kundadri	Dandeli Wildlife Sanctuary	285071	22134
Kundadri	Ranganathittu Bird Sanctuary	277071	21975
Kundadri	Dubare Reserve Forest	239556	20765
Kundadri	Daroji Bear Sanctuary	298067	24485
Kundadri	Bannerghatta National Park	368622	25569
Kundadri	Rajiv Gandhi National Park	297803	23924
Kundadri	Adichunchanagiri Peacock Sanctuary	253657	18742
Bandipur National Park	Kundadri	366035	28359
Kundadri	Cauvery Wildlife Sanctuary	473797	34852
Kundadri	Someshwara Wildlife Sanctuary	37913	3783
Gokarna Beach	Kundadri	218264	16766
Kundadri	Marwanthe Beach	92105	7582
Kundadri	Karwar Beach	257951	19074
Kundadri	Malpe Beach	76998	6695
Kundadri	Suratkal Beach	112608	9123
Kundadri	Murdeshwar Beach	142984	11241
Kundadri	Dharmasthala Sri Manjunatha Swamy Temple	125671	10778
Kundadri	Kukke Subrahmanya	180046	14524
Murudeshwar Temple	Kundadri	143320	11353
Kundadri	Basaveshwara Temple Basavakalyan	651252	49649
Kundadri	Shree Kshethra Rajarajeshwari Temple,Polali	108300	9474
Kundadri	Bylakuppe Budda Temple	228358	19773
Kundadri	Talakadu	331883	25907
Kundadri	Sri Veeranarayana Swamy Temple	143198	12359
Kundadri	Sri Gavi Gangadeshwara Temple	353469	25274
Kundadri	Kotilingeshwara Temple	442516	31428
Krishna Temple Devasthan, Udupi	Kundadri	70992	6474
Halebeedu Hoysaleswara Temple	Kundadri	144131	12087
Kundadri	Bidar	705035	51731
Kundadri	Bangalore Palace	345802	24554
Kundadri	Beluru Sri Chennakeshava Temple	128041	10928
Kundadri	Chitradurga Fort	200607	15224
Bijapur	Kundadri	452687	33058
Kundadri	Badami	360599	26569
Kundadri	Mysore Palace	287445	23042
Kundadri	Somnathpur	304143	24153
Kundadri	Pattadakal	382220	28237
Kundadri	Hampi	292357	23952
Kundadri	Bangalore Fort	354377	25430
Bellary Fort	Kundadri	342468	26002
Kundadri	Tipu Sultan's Summer Palace	354443	25408
Kundadri	BR Hills	370596	29494
Kundadri	Baba Budan Giri	146557	14249
Kundadri	Basavakalyan Fort	652152	49781
Kundadri	Horanadu Annapoorneshwari Temple	69922	8600
Kukke Subramanya Temple	Kundadri	180046	14524
Kundadri	Shivagange	308663	22201
Kundadri	Aihole	395391	29374
Kundadri	Gulbarga	585838	43612
Kundadri	Balmuri Falls	277488	22427
Kundadri	Triveni Sangama	1891434	120920
Kundadri	Sri Nimishambha Temple	275254	21766
Kundadri	Bheemeshwari	357459	25653
Shivanasamudra	Kundadri	376331	26471
Kundadri	Kumara Parvatha	204550	18356
Jog Falls	Lalguli Falls	134071	10398
Jog Falls	Coorg	362688	27998
Jog Falls	Hebbe Falls	182435	14997
Jog Falls	Kalhatti Falls	170069	13026
Jog Falls	Kemmanagundi	178747	14095
Jog Falls	Mulliyana Giri	203796	15881
Jog Falls	Kudremukh	204187	15717
Jog Falls	Chikamagalur	204448	15961
Jog Falls	Sathodi Falls	133443	11685
Jog Falls	Nandi Hills	407803	28130
Jog Falls	Kodachadri	81569	9830
Jog Falls	Biligiri Rangaswamy Temple, BR Hills	425167	32459
Jog Falls	Anshi National Park	199729	15042
Jog Falls	Gudavi Bird Sanctuary	53494	5177
Jog Falls	Kokkrebellur Pelicanry	389772	26625
Jog Falls	Bhadra Wildlife Sanctuary	139844	10524
Jog Falls	Ranibennur Blackbuck Sanctuary	128090	11071
Jog Falls	Dandeli Wildlife Sanctuary	161031	12714
Jog Falls	Ranganathittu Bird Sanctuary	331345	24883
Jog Falls	Dubare Reserve Forest	330242	26075
Jog Falls	Daroji Bear Sanctuary	303909	24266
Jog Falls	Bannerghatta National Park	422812	28262
Jog Falls	Rajiv Gandhi National Park	377003	28987
Jog Falls	Adichunchanagiri Peacock Sanctuary	284269	21359
Bandipur National Park	Jog Falls	426981	32175
Jog Falls	Cauvery Wildlife Sanctuary	528072	37762
Jog Falls	Someshwara Wildlife Sanctuary	164582	13153
Gokarna Beach	Jog Falls	122183	10307
Jog Falls	Marwanthe Beach	114982	9099
Jog Falls	Karwar Beach	161870	12614
Jog Falls	Malpe Beach	158647	12351
Jog Falls	Suratkal Beach	199910	14848
Jog Falls	Murdeshwar Beach	87612	6819
Jog Falls	Dharmasthala Sri Manjunatha Swamy Temple	252340	20148
Jog Falls	Kukke Subrahmanya	300043	22987
Murudeshwar Temple	Jog Falls	87948	6931
Jog Falls	Basaveshwara Temple Basavakalyan	553318	42710
Jog Falls	Shree Kshethra Rajarajeshwari Temple,Polali	224393	17041
Jog Falls	Bylakuppe Budda Temple	319044	25083
Jog Falls	Talakadu	392829	29723
Jog Falls	Sri Veeranarayana Swamy Temple	205915	15930
Jog Falls	Sri Gavi Gangadeshwara Temple	407659	27967
Jog Falls	Kotilingeshwara Temple	496705	34121
Krishna Temple Devasthan, Udupi	Jog Falls	158039	12190
Halebeedu Hoysaleswara Temple	Jog Falls	213036	16144
Jog Falls	Bidar	607101	44793
Jog Falls	Bangalore Palace	406664	28154
Jog Falls	Beluru Sri Chennakeshava Temple	230003	18005
Jog Falls	Chitradurga Fort	207185	15160
Bijapur	Jog Falls	365162	27286
Jog Falls	Badami	262665	19630
Jog Falls	Mysore Palace	341719	25950
Jog Falls	Somnathpur	365089	27969
Jog Falls	Pattadakal	284287	21299
Jog Falls	Hampi	298198	23733
Jog Falls	Bangalore Fort	415238	29030
Bellary Fort	Jog Falls	340415	25860
Jog Falls	Tipu Sultan's Summer Palace	415305	29008
Jog Falls	BR Hills	424871	32403
Jog Falls	Baba Budan Giri	215259	17547
Jog Falls	Basavakalyan Fort	554219	42842
Jog Falls	Horanadu Annapoorneshwari Temple	216104	17552
Kukke Subramanya Temple	Jog Falls	300043	22987
Jog Falls	Shivagange	361120	24296
Jog Falls	Aihole	297458	22435
Jog Falls	Gulbarga	487905	36673
Jog Falls	Balmuri Falls	331762	25336
Jog Falls	Triveni Sangama	1753568	121044
Jog Falls	Sri Nimishambha Temple	336201	25582
Jog Falls	Bheemeshwari	418321	29253
Shivanasamudra	Jog Falls	430605	29381
Jog Falls	Kumara Parvatha	316802	26278
Coorg	Lalguli Falls	455451	33546
Hebbe Falls	Lalguli Falls	274543	22153
Kalhatti Falls	Lalguli Falls	262177	20183
Kemmanagundi	Lalguli Falls	270855	21251
Mulliyana Giri	Lalguli Falls	302575	23945
Kudremukh	Lalguli Falls	313593	23816
Chikamagalur	Lalguli Falls	296556	23118
Sathodi Falls	Lalguli Falls	44306	5019
Nandi Hills	Lalguli Falls	444582	30419
Kodachadri	Lalguli Falls	190974	17929
Biligiri Rangaswamy Temple, BR Hills	Lalguli Falls	552835	38518
Anshi National Park	Lalguli Falls	78562	6921
Gudavi Bird Sanctuary	Lalguli Falls	102578	8030
Kokkrebellur Pelicanry	Lalguli Falls	471385	31653
Bhadra Wildlife Sanctuary	Lalguli Falls	231952	17681
Ranibennur Blackbuck Sanctuary	Lalguli Falls	146041	11894
Dandeli Wildlife Sanctuary	Lalguli Falls	37368	3482
Ranganathittu Bird Sanctuary	Lalguli Falls	430125	32947
Dubare Reserve Forest	Lalguli Falls	429022	34139
Daroji Bear Sanctuary	Lalguli Falls	243373	21141
Bannerghatta National Park	Lalguli Falls	459592	30551
Rajiv Gandhi National Park	Lalguli Falls	475783	37051
Adichunchanagiri Peacock Sanctuary	Lalguli Falls	383049	29423
Bandipur National Park	Lalguli Falls	519089	39331
Cauvery Wildlife Sanctuary	Lalguli Falls	609685	42790
Someshwara Wildlife Sanctuary	Lalguli Falls	280274	20175
Gokarna Beach	Lalguli Falls	98788	7973
Marwanthe Beach	Lalguli Falls	207745	14647
Karwar Beach	Lalguli Falls	116145	8185
Malpe Beach	Lalguli Falls	254380	17896
Suratkal Beach	Lalguli Falls	295643	20393
Murdeshwar Beach	Lalguli Falls	155803	11472
Dharmasthala Sri Manjunatha Swamy Temple	Lalguli Falls	359254	25789
Kukke Subrahmanya	Lalguli Falls	410356	29471
Murudeshwar Temple	Lalguli Falls	156139	11585
Basaveshwara Temple Basavakalyan	Lalguli Falls	468655	36629
Shree Kshethra Rajarajeshwari Temple,Polali	Lalguli Falls	317156	22589
Bylakuppe Budda Temple	Lalguli Falls	417824	33147
Talakadu	Lalguli Falls	510714	34360
Sri Veeranarayana Swamy Temple	Lalguli Falls	304695	23994
Sri Gavi Gangadeshwara Temple	Lalguli Falls	444439	30256
Kotilingeshwara Temple	Lalguli Falls	533485	36410
Krishna Temple Devasthan, Udupi	Lalguli Falls	253772	17736
Halebeedu Hoysaleswara Temple	Lalguli Falls	311816	24207
Bidar	Lalguli Falls	522438	38711
Bangalore Palace	Lalguli Falls	436772	29536
Beluru Sri Chennakeshava Temple	Lalguli Falls	322111	25162
Chitradurga Fort	Lalguli Falls	238358	17952
Bijapur	Lalguli Falls	270090	20038
Badami	Lalguli Falls	178002	13549
Mysore Palace	Lalguli Falls	440499	34014
Somnathpur	Lalguli Falls	512610	34189
Pattadakal	Lalguli Falls	199624	15217
Hampi	Lalguli Falls	237646	20606
Bangalore Fort	Lalguli Falls	445346	30412
Bellary Fort	Lalguli Falls	286082	25294
Tipu Sultan's Summer Palace	Lalguli Falls	445413	30390
BR Hills	Lalguli Falls	552538	38463
Baba Budan Giri	Lalguli Falls	314038	25610
Basavakalyan Fort	Lalguli Falls	469556	36761
Horanadu Annapoorneshwari Temple	Lalguli Falls	318837	24743
Kukke Subramanya Temple	Lalguli Falls	410356	29471
Shivagange	Lalguli Falls	397899	26586
Aihole	Lalguli Falls	212795	16354
