waypoint1	waypoint2	distance_m	duration_s
Badami	Nandi Hills	455591	30017
Mysore Palace	Nandi Hills	210674	15233
Somnathpur	Nandi Hills	204131	14494
Pattadakal	Nandi Hills	450833	29381
Hampi	Nandi Hills	350103	21976
Bangalore Fort	Nandi Hills	62963	6053
Bellary Fort	Nandi Hills	283702	17820
Tipu Sultan's Summer Palace	Nandi Hills	62680	6168
BR Hills	Nandi Hills	244059	18767
Baba Budan Giri	Nandi Hills	303097	22425
Basavakalyan Fort	Nandi Hills	712300	40428
Horanadu Annapoorneshwari Temple	Nandi Hills	344239	25532
Kukke Subramanya Temple	Nandi Hills	307498	21896
Shivagange	Nandi Hills	65946	6039
Aihole	Nandi Hills	454079	28714
Gulbarga	Nandi Hills	543831	37982
Balmuri Falls	Nandi Hills	209022	15140
Triveni Sangama	Nandi Hills	1707550	103251
Sri Nimishambha Temple	Nandi Hills	196180	13837
Bheemeshwari	Nandi Hills	65114	5753
Shivanasamudra	Nandi Hills	203739	14713
Kumara Parvatha	Nandi Hills	284818	21275
Kodachadri	Biligiri Rangaswamy Temple, BR Hills	435085	35999
Anshi National Park	Kodachadri	260671	21687
Gudavi Bird Sanctuary	Kodachadri	97699	11398
Kodachadri	Kokkrebellur Pelicanry	399690	30165
Bhadra Wildlife Sanctuary	Kodachadri	131169	12339
Ranibennur Blackbuck Sanctuary	Kodachadri	168031	15639
Kodachadri	Dandeli Wildlife Sanctuary	228362	21428
Ranganathittu Bird Sanctuary	Kodachadri	341263	28424
Dubare Reserve Forest	Kodachadri	304948	27994
Daroji Bear Sanctuary	Kodachadri	309167	27269
Kodachadri	Bannerghatta National Park	432730	31802
Kodachadri	Rajiv Gandhi National Park	363195	31153
Adichunchanagiri Peacock Sanctuary	Kodachadri	294187	24899
Bandipur National Park	Kodachadri	430227	34808
Cauvery Wildlife Sanctuary	Kodachadri	537990	41303
Someshwara Wildlife Sanctuary	Kodachadri	107743	10913
Gokarna Beach	Kodachadri	172717	15785
Marwanthe Beach	Kodachadri	76368	8661
Kodachadri	Karwar Beach	212404	18092
Malpe Beach	Kodachadri	111258	11078
Kodachadri	Suratkal Beach	152520	13575
Kodachadri	Murdeshwar Beach	97436	10259
Dharmasthala Sri Manjunatha Swamy Temple	Kodachadri	195500	17908
Kukke Subrahmanya	Kodachadri	249875	21654
Murudeshwar Temple	Kodachadri	97772	10372
Basaveshwara Temple Basavakalyan	Kodachadri	601597	50275
Shree Kshethra Rajarajeshwari Temple,Polali	Kodachadri	174034	15771
Bylakuppe Budda Temple	Kodachadri	293750	27002
Kodachadri	Talakadu	396075	32356
Sri Veeranarayana Swamy Temple	Kodachadri	215834	19470
Sri Gavi Gangadeshwara Temple	Kodachadri	417577	31507
Kodachadri	Kotilingeshwara Temple	506624	37661
Krishna Temple Devasthan, Udupi	Kodachadri	110649	10918
Halebeedu Hoysaleswara Temple	Kodachadri	209523	19316
Bidar	Kodachadri	655380	52357
Bangalore Palace	Kodachadri	409910	30787
Kodachadri	Beluru Sri Chennakeshava Temple	193433	18158
Chitradurga Fort	Kodachadri	218014	18764
Bijapur	Kodachadri	403032	33684
Badami	Kodachadri	310944	27195
Mysore Palace	Kodachadri	351637	29491
Kodachadri	Somnathpur	368335	30602
Pattadakal	Kodachadri	332565	28863
Kodachadri	Hampi	303456	26737
Kodachadri	Bangalore Fort	418485	31663
Bellary Fort	Kodachadri	359875	29542
Tipu Sultan's Summer Palace	Kodachadri	418551	31641
BR Hills	Kodachadri	434789	35943
Kodachadri	Baba Budan Giri	225177	21087
Basavakalyan Fort	Kodachadri	602497	50407
Kodachadri	Horanadu Annapoorneshwari Temple	144281	15885
Kukke Subramanya Temple	Kodachadri	249875	21654
Shivagange	Kodachadri	371038	27836
Kodachadri	Aihole	345736	30000
Gulbarga	Kodachadri	536183	44237
Balmuri Falls	Kodachadri	341680	28876
Triveni Sangama	Kodachadri	1908841	124459
Kodachadri	Sri Nimishambha Temple	339447	28215
Bheemeshwari	Kodachadri	421567	31886
Shivanasamudra	Kodachadri	440523	32921
Kumara Parvatha	Kodachadri	269942	25585
Anshi National Park	Biligiri Rangaswamy Temple, BR Hills	615163	44435
Gudavi Bird Sanctuary	Biligiri Rangaswamy Temple, BR Hills	425250	33040
Kokkrebellur Pelicanry	Biligiri Rangaswamy Temple, BR Hills	88534	7971
Bhadra Wildlife Sanctuary	Biligiri Rangaswamy Temple, BR Hills	306302	23656
Ranibennur Blackbuck Sanctuary	Biligiri Rangaswamy Temple, BR Hills	420636	28309
Biligiri Rangaswamy Temple, BR Hills	Dandeli Wildlife Sanctuary	575110	40857
Ranganathittu Bird Sanctuary	Biligiri Rangaswamy Temple, BR Hills	98336	8129
Dubare Reserve Forest	Biligiri Rangaswamy Temple, BR Hills	191197	15627
Daroji Bear Sanctuary	Biligiri Rangaswamy Temple, BR Hills	462101	30776
Biligiri Rangaswamy Temple, BR Hills	Bannerghatta National Park	157693	13681
Rajiv Gandhi National Park	Biligiri Rangaswamy Temple, BR Hills	160644	14179
Adichunchanagiri Peacock Sanctuary	Biligiri Rangaswamy Temple, BR Hills	172832	13258
Bandipur National Park	Biligiri Rangaswamy Temple, BR Hills	98221	8115
Cauvery Wildlife Sanctuary	Biligiri Rangaswamy Temple, BR Hills	124410	11819
Someshwara Wildlife Sanctuary	Biligiri Rangaswamy Temple, BR Hills	389109	30964
Gokarna Beach	Biligiri Rangaswamy Temple, BR Hills	535900	40897
Marwanthe Beach	Biligiri Rangaswamy Temple, BR Hills	444786	34467
Karwar Beach	Biligiri Rangaswamy Temple, BR Hills	575587	43204
Malpe Beach	Biligiri Rangaswamy Temple, BR Hills	399318	31704
Suratkal Beach	Biligiri Rangaswamy Temple, BR Hills	353759	28595
Murdeshwar Beach	Biligiri Rangaswamy Temple, BR Hills	495665	38126
Dharmasthala Sri Manjunatha Swamy Temple	Biligiri Rangaswamy Temple, BR Hills	320528	25398
Kukke Subrahmanya	Biligiri Rangaswamy Temple, BR Hills	257887	22641
Murudeshwar Temple	Biligiri Rangaswamy Temple, BR Hills	496001	38238
Basaveshwara Temple Basavakalyan	Biligiri Rangaswamy Temple, BR Hills	804966	56596
Shree Kshethra Rajarajeshwari Temple,Polali	Biligiri Rangaswamy Temple, BR Hills	331415	26835
Bylakuppe Budda Temple	Biligiri Rangaswamy Temple, BR Hills	176570	14215
Biligiri Rangaswamy Temple, BR Hills	Talakadu	52757	4966
Sri Veeranarayana Swamy Temple	Biligiri Rangaswamy Temple, BR Hills	248917	19140
Sri Gavi Gangadeshwara Temple	Biligiri Rangaswamy Temple, BR Hills	173055	14429
Kotilingeshwara Temple	Biligiri Rangaswamy Temple, BR Hills	267234	22619
Krishna Temple Devasthan, Udupi	Biligiri Rangaswamy Temple, BR Hills	395784	31507
Halebeedu Hoysaleswara Temple	Biligiri Rangaswamy Temple, BR Hills	236941	18242
Bidar	Biligiri Rangaswamy Temple, BR Hills	867222	54086
Bangalore Palace	Biligiri Rangaswamy Temple, BR Hills	174273	15469
Biligiri Rangaswamy Temple, BR Hills	Beluru Sri Chennakeshava Temple	243622	18684
Chitradurga Fort	Biligiri Rangaswamy Temple, BR Hills	312986	21164
Bijapur	Biligiri Rangaswamy Temple, BR Hills	636927	41593
Badami	Biligiri Rangaswamy Temple, BR Hills	561879	38284
Mysore Palace	Biligiri Rangaswamy Temple, BR Hills	86263	7357
Somnathpur	Biligiri Rangaswamy Temple, BR Hills	63796	5610
Pattadakal	Biligiri Rangaswamy Temple, BR Hills	557120	37649
Biligiri Rangaswamy Temple, BR Hills	Hampi	456390	30244
Biligiri Rangaswamy Temple, BR Hills	Bangalore Fort	169430	14708
Bellary Fort	Biligiri Rangaswamy Temple, BR Hills	420380	30334
Tipu Sultan's Summer Palace	Biligiri Rangaswamy Temple, BR Hills	169496	14687
BR Hills	Biligiri Rangaswamy Temple, BR Hills	540	103
Biligiri Rangaswamy Temple, BR Hills	Baba Budan Giri	298739	24608
Basavakalyan Fort	Biligiri Rangaswamy Temple, BR Hills	805866	56728
Biligiri Rangaswamy Temple, BR Hills	Horanadu Annapoorneshwari Temple	339881	27715
Kukke Subramanya Temple	Biligiri Rangaswamy Temple, BR Hills	257887	22641
Shivagange	Biligiri Rangaswamy Temple, BR Hills	174925	13778
Biligiri Rangaswamy Temple, BR Hills	Aihole	560366	36982
Gulbarga	Biligiri Rangaswamy Temple, BR Hills	739552	50558
Balmuri Falls	Biligiri Rangaswamy Temple, BR Hills	101028	8745
Triveni Sangama	Biligiri Rangaswamy Temple, BR Hills	1915424	119713
Biligiri Rangaswamy Temple, BR Hills	Sri Nimishambha Temple	93925	8163
Bheemeshwari	Biligiri Rangaswamy Temple, BR Hills	179531	16339
Shivanasamudra	Biligiri Rangaswamy Temple, BR Hills	52959	5350
Kumara Parvatha	Biligiri Rangaswamy Temple, BR Hills	227507	19146
Anshi National Park	Gudavi Bird Sanctuary	164454	14461
Anshi National Park	Kokkrebellur Pelicanry	535997	38271
Anshi National Park	Bhadra Wildlife Sanctuary	293828	24113
Ranibennur Blackbuck Sanctuary	Anshi National Park	210653	18512
Anshi National Park	Dandeli Wildlife Sanctuary	54557	4695
Anshi National Park	Ranganathittu Bird Sanctuary	492001	39379
Anshi National Park	Dubare Reserve Forest	487490	36945
Anshi National Park	Daroji Bear Sanctuary	296188	26593
Anshi National Park	Bannerghatta National Park	524204	37168
Anshi National Park	Rajiv Gandhi National Park	542667	41282
Anshi National Park	Adichunchanagiri Peacock Sanctuary	444925	35854
Bandipur National Park	Anshi National Park	580965	45763
Anshi National Park	Cauvery Wildlife Sanctuary	674297	49408
Anshi National Park	Someshwara Wildlife Sanctuary	298865	21927
Gokarna Beach	Anshi National Park	117379	9726
Anshi National Park	Marwanthe Beach	226337	16400
Anshi National Park	Karwar Beach	54237	4133
Malpe Beach	Anshi National Park	272972	19648
Anshi National Park	Suratkal Beach	314234	22146
Anshi National Park	Murdeshwar Beach	174395	13225
Anshi National Park	Dharmasthala Sri Manjunatha Swamy Temple	377845	27541
Anshi National Park	Kukke Subrahmanya	428947	31223
Murudeshwar Temple	Anshi National Park	174731	13337
Anshi National Park	Basaveshwara Temple Basavakalyan	501299	41519
Anshi National Park	Shree Kshethra Rajarajeshwari Temple,Polali	335748	24341
Anshi National Park	Bylakuppe Budda Temple	494782	37061
Anshi National Park	Talakadu	575326	40977
Anshi National Park	Sri Veeranarayana Swamy Temple	366571	30425
Anshi National Park	Sri Gavi Gangadeshwara Temple	509051	36874
Anshi National Park	Kotilingeshwara Temple	598097	43027
Krishna Temple Devasthan, Udupi	Anshi National Park	272363	19488
Halebeedu Hoysaleswara Temple	Anshi National Park	373692	30639
Anshi National Park	Bidar	555082	43601
Bangalore Palace	Anshi National Park	501384	36154
Anshi National Park	Beluru Sri Chennakeshava Temple	383987	31594
Anshi National Park	Chitradurga Fort	302970	24570
Bijapur	Anshi National Park	302733	24928
Anshi National Park	Badami	210646	18439
Anshi National Park	Mysore Palace	502375	40446
Anshi National Park	Somnathpur	577222	40807
Anshi National Park	Pattadakal	232267	20107
Anshi National Park	Hampi	290461	26059
Anshi National Park	Bangalore Fort	509958	37029
Bellary Fort	Anshi National Park	338897	30747
Anshi National Park	Tipu Sultan's Summer Palace	510025	37008
Anshi National Park	BR Hills	617150	45080
Anshi National Park	Baba Budan Giri	375915	32042
Anshi National Park	Basavakalyan Fort	502199	41651
Anshi National Park	Horanadu Annapoorneshwari Temple	392749	29119
Kukke Subramanya Temple	Anshi National Park	428947	31223
Anshi National Park	Shivagange	462511	33203
Anshi National Park	Aihole	245438	21244
Anshi National Park	Gulbarga	435885	35482
Balmuri Falls	Anshi National Park	492418	39831
Anshi National Park	Triveni Sangama	1701548	119853
Anshi National Park	Sri Nimishambha Temple	490185	39170
Anshi National Park	Bheemeshwari	513040	37252
Shivanasamudra	Anshi National Park	576830	41026
Anshi National Park	Kumara Parvatha	475367	36894
Gudavi Bird Sanctuary	Kokkrebellur Pelicanry	389892	27647
Bhadra Wildlife Sanctuary	Gudavi Bird Sanctuary	133291	10640
Ranibennur Blackbuck Sanctuary	Gudavi Bird Sanctuary	104838	8899
Gudavi Bird Sanctuary	Dandeli Wildlife Sanctuary	138440	11430
Ranganathittu Bird Sanctuary	Gudavi Bird Sanctuary	331464	25906
Dubare Reserve Forest	Gudavi Bird Sanctuary	330361	27097
Gudavi Bird Sanctuary	Daroji Bear Sanctuary	255927	21152
Gudavi Bird Sanctuary	Bannerghatta National Park	416429	27500
Gudavi Bird Sanctuary	Rajiv Gandhi National Park	377122	30009
Adichunchanagiri Peacock Sanctuary	Gudavi Bird Sanctuary	284388	22381
Bandipur National Park	Gudavi Bird Sanctuary	420428	32290
Gudavi Bird Sanctuary	Cauvery Wildlife Sanctuary	528191	38784
Someshwara Wildlife Sanctuary	Gudavi Bird Sanctuary	170752	13414
Gokarna Beach	Gudavi Bird Sanctuary	117744	10167
Marwanthe Beach	Gudavi Bird Sanctuary	157072	12857
Gudavi Bird Sanctuary	Karwar Beach	142794	12401
Malpe Beach	Gudavi Bird Sanctuary	189207	15878
Gudavi Bird Sanctuary	Suratkal Beach	230470	18375
Gudavi Bird Sanctuary	Murdeshwar Beach	124761	10239
Gudavi Bird Sanctuary	Dharmasthala Sri Manjunatha Swamy Temple	258510	20409
Kukke Subrahmanya	Gudavi Bird Sanctuary	312885	24155
Murudeshwar Temple	Gudavi Bird Sanctuary	125097	10352
Basaveshwara Temple Basavakalyan	Gudavi Bird Sanctuary	522543	40610
Shree Kshethra Rajarajeshwari Temple,Polali	Gudavi Bird Sanctuary	241139	19105
Bylakuppe Budda Temple	Gudavi Bird Sanctuary	319163	26105
Gudavi Bird Sanctuary	Talakadu	386276	29838
Sri Veeranarayana Swamy Temple	Gudavi Bird Sanctuary	206035	16952
Gudavi Bird Sanctuary	Sri Gavi Gangadeshwara Temple	401277	27205
Gudavi Bird Sanctuary	Kotilingeshwara Temple	490323	33359
Krishna Temple Devasthan, Udupi	Gudavi Bird Sanctuary	188599	15718
Halebeedu Hoysaleswara Temple	Gudavi Bird Sanctuary	213155	17166
Bidar	Gudavi Bird Sanctuary	576326	42693
Bangalore Palace	Gudavi Bird Sanctuary	393609	26485
Gudavi Bird Sanctuary	Beluru Sri Chennakeshava Temple	223450	18121
Gudavi Bird Sanctuary	Chitradurga Fort	195196	14901
Bijapur	Gudavi Bird Sanctuary	323978	24020
Badami	Gudavi Bird Sanctuary	231890	17530
Mysore Palace	Gudavi Bird Sanctuary	341839	26972
Gudavi Bird Sanctuary	Somnathpur	358536	28084
Gudavi Bird Sanctuary	Pattadakal	253512	19199
Gudavi Bird Sanctuary	Hampi	250217	20620
Gudavi Bird Sanctuary	Bangalore Fort	402184	27361
Bellary Fort	Gudavi Bird Sanctuary	287971	23848
Tipu Sultan's Summer Palace	Gudavi Bird Sanctuary	402251	27339
BR Hills	Gudavi Bird Sanctuary	424990	33425
Gudavi Bird Sanctuary	Baba Budan Giri	215378	18569
Gudavi Bird Sanctuary	Basavakalyan Fort	523444	40742
Gudavi Bird Sanctuary	Horanadu Annapoorneshwari Temple	222274	17813
Kukke Subramanya Temple	Gudavi Bird Sanctuary	312885	24155
Gudavi Bird Sanctuary	Shivagange	354737	23534
Gudavi Bird Sanctuary	Aihole	266683	20335
Gulbarga	Gudavi Bird Sanctuary	457130	34573
Balmuri Falls	Gudavi Bird Sanctuary	331881	26358
Gudavi Bird Sanctuary	Triveni Sangama	1722793	118944
Gudavi Bird Sanctuary	Sri Nimishambha Temple	329648	25697
Bheemeshwari	Gudavi Bird Sanctuary	405266	27584
Shivanasamudra	Gudavi Bird Sanctuary	430724	30403
Kumara Parvatha	Gudavi Bird Sanctuary	322972	26539
Bhadra Wildlife Sanctuary	Kokkrebellur Pelicanry	270871	18101
Ranibennur Blackbuck Sanctuary	Kokkrebellur Pelicanry	340925	21588
Kokkrebellur Pelicanry	Dandeli Wildlife Sanctuary	495399	34135
Ranganathittu Bird Sanctuary	Kokkrebellur Pelicanry	62523	4527
Dubare Reserve Forest	Kokkrebellur Pelicanry	166221	12779
Daroji Bear Sanctuary	Kokkrebellur Pelicanry	382390	24055
Kokkrebellur Pelicanry	Bannerghatta National Park	92942	7584
Rajiv Gandhi National Park	Kokkrebellur Pelicanry	148372	11975
Adichunchanagiri Peacock Sanctuary	Kokkrebellur Pelicanry	98956	6495
Bandipur National Park	Kokkrebellur Pelicanry	145400	10257
Cauvery Wildlife Sanctuary	Kokkrebellur Pelicanry	147168	12405
Someshwara Wildlife Sanctuary	Kokkrebellur Pelicanry	353790	25436
Gokarna Beach	Kokkrebellur Pelicanry	500468	35342
Marwanthe Beach	Kokkrebellur Pelicanry	407982	29235
Karwar Beach	Kokkrebellur Pelicanry	555480	36894
Malpe Beach	Kokkrebellur Pelicanry	392875	28348
Suratkal Beach	Kokkrebellur Pelicanry	349079	25058
Murdeshwar Beach	Kokkrebellur Pelicanry	458861	32894
Dharmasthala Sri Manjunatha Swamy Temple	Kokkrebellur Pelicanry	285209	19870
Kukke Subrahmanya	Kokkrebellur Pelicanry	267822	18551
Murudeshwar Temple	Kokkrebellur Pelicanry	459197	33006
Basaveshwara Temple Basavakalyan	Kokkrebellur Pelicanry	725255	49874
Shree Kshethra Rajarajeshwari Temple,Polali	Kokkrebellur Pelicanry	326735	23298
Bylakuppe Budda Temple	Kokkrebellur Pelicanry	151594	11367
Kokkrebellur Pelicanry	Talakadu	48197	3975
Sri Veeranarayana Swamy Temple	Kokkrebellur Pelicanry	213598	13612
Sri Gavi Gangadeshwara Temple	Kokkrebellur Pelicanry	88761	7440
Kotilingeshwara Temple	Kokkrebellur Pelicanry	182940	15630
Krishna Temple Devasthan, Udupi	Kokkrebellur Pelicanry	386513	27930
Halebeedu Hoysaleswara Temple	Kokkrebellur Pelicanry	201623	12714
Bidar	Kokkrebellur Pelicanry	782928	47097
Bangalore Palace	Kokkrebellur Pelicanry	89979	8480
Kokkrebellur Pelicanry	Beluru Sri Chennakeshava Temple	208304	13156
Chitradurga Fort	Kokkrebellur Pelicanry	233275	14442
Bijapur	Kokkrebellur Pelicanry	557216	34872
Badami	Kokkrebellur Pelicanry	482168	31563
Mysore Palace	Kokkrebellur Pelicanry	68772	5509
Somnathpur	Kokkrebellur Pelicanry	50093	3804
Pattadakal	Kokkrebellur Pelicanry	477409	30928
Kokkrebellur Pelicanry	Hampi	376680	23522
Kokkrebellur Pelicanry	Bangalore Fort	85135	7719
Bellary Fort	Kokkrebellur Pelicanry	340669	23613
Tipu Sultan's Summer Palace	Kokkrebellur Pelicanry	85202	7698
BR Hills	Kokkrebellur Pelicanry	90021	8078
Kokkrebellur Pelicanry	Baba Budan Giri	263421	19080
Basavakalyan Fort	Kokkrebellur Pelicanry	726155	50006
Kokkrebellur Pelicanry	Horanadu Annapoorneshwari Temple	304562	22187
Kukke Subramanya Temple	Kokkrebellur Pelicanry	267822	18551
Shivagange	Kokkrebellur Pelicanry	95215	7056
Kokkrebellur Pelicanry	Aihole	480655	30261
Gulbarga	Kokkrebellur Pelicanry	659841	43837
Balmuri Falls	Kokkrebellur Pelicanry	71245	5501
Triveni Sangama	Kokkrebellur Pelicanry	1831130	112724
Kokkrebellur Pelicanry	Sri Nimishambha Temple	58041	4112
Bheemeshwari	Kokkrebellur Pelicanry	95236	9350
Shivanasamudra	Kokkrebellur Pelicanry	49701	4024
Kumara Parvatha	Kokkrebellur Pelicanry	202531	16297
Ranibennur Blackbuck Sanctuary	Bhadra Wildlife Sanctuary	136247	10781
Bhadra Wildlife Sanctuary	Dandeli Wildlife Sanctuary	279864	21162
Ranganathittu Bird Sanctuary	Bhadra Wildlife Sanctuary	212491	16497
Dubare Reserve Forest	Bhadra Wildlife Sanctuary	211389	17688
Bhadra Wildlife Sanctuary	Daroji Bear Sanctuary	284152	19489
Bhadra Wildlife Sanctuary	Bannerghatta National Park	303959	19875
Bhadra Wildlife Sanctuary	Rajiv Gandhi National Park	258150	20600
Adichunchanagiri Peacock Sanctuary	Bhadra Wildlife Sanctuary	165416	12972
Bandipur National Park	Bhadra Wildlife Sanctuary	301456	22881
Bhadra Wildlife Sanctuary	Cauvery Wildlife Sanctuary	409218	29376
Someshwara Wildlife Sanctuary	Bhadra Wildlife Sanctuary	116806	9521
Gokarna Beach	Bhadra Wildlife Sanctuary	243897	18473
Marwanthe Beach	Bhadra Wildlife Sanctuary	159748	12685
Bhadra Wildlife Sanctuary	Karwar Beach	283584	20781
Malpe Beach	Bhadra Wildlife Sanctuary	155891	12433
Bhadra Wildlife Sanctuary	Suratkal Beach	191500	14861
Bhadra Wildlife Sanctuary	Murdeshwar Beach	219735	16151
Bhadra Wildlife Sanctuary	Dharmasthala Sri Manjunatha Swamy Temple	159655	13948
Kukke Subrahmanya	Bhadra Wildlife Sanctuary	197686	16767
Murudeshwar Temple	Bhadra Wildlife Sanctuary	220071	16264
Basaveshwara Temple Basavakalyan	Bhadra Wildlife Sanctuary	627017	45308
Shree Kshethra Rajarajeshwari Temple,Polali	Bhadra Wildlife Sanctuary	187193	15212
Bylakuppe Budda Temple	Bhadra Wildlife Sanctuary	200191	16696
Bhadra Wildlife Sanctuary	Talakadu	267304	20429
Sri Veeranarayana Swamy Temple	Bhadra Wildlife Sanctuary	87062	7543
Bhadra Wildlife Sanctuary	Sri Gavi Gangadeshwara Temple	288806	19581
Bhadra Wildlife Sanctuary	Kotilingeshwara Temple	377852	25734
Krishna Temple Devasthan, Udupi	Bhadra Wildlife Sanctuary	149884	12212
Halebeedu Hoysaleswara Temple	Bhadra Wildlife Sanctuary	94182	7757
Bidar	Bhadra Wildlife Sanctuary	680800	47391
Bangalore Palace	Bhadra Wildlife Sanctuary	281139	18861
Bhadra Wildlife Sanctuary	Beluru Sri Chennakeshava Temple	104478	8712
Bhadra Wildlife Sanctuary	Chitradurga Fort	135123	9706
Bijapur	Bhadra Wildlife Sanctuary	458978	30306
Badami	Bhadra Wildlife Sanctuary	328432	24375
Mysore Palace	Bhadra Wildlife Sanctuary	222866	17564
Bhadra Wildlife Sanctuary	Somnathpur	239564	18675
Bhadra Wildlife Sanctuary	Pattadakal	307161	25317
Bhadra Wildlife Sanctuary	Hampi	278442	18956
Bhadra Wildlife Sanctuary	Bangalore Fort	289713	19736
Bellary Fort	Bhadra Wildlife Sanctuary	266969	20147
Tipu Sultan's Summer Palace	Bhadra Wildlife Sanctuary	289780	19715
BR Hills	Bhadra Wildlife Sanctuary	306017	24017
Bhadra Wildlife Sanctuary	Baba Budan Giri	96405	9160
Bhadra Wildlife Sanctuary	Basavakalyan Fort	627918	45440
Bhadra Wildlife Sanctuary	Horanadu Annapoorneshwari Temple	121965	10469
Kukke Subramanya Temple	Bhadra Wildlife Sanctuary	197686	16767
Bhadra Wildlife Sanctuary	Shivagange	242266	15910
Bhadra Wildlife Sanctuary	Aihole	382418	25694
Gulbarga	Bhadra Wildlife Sanctuary	561604	39271
Balmuri Falls	Bhadra Wildlife Sanctuary	212909	16950
Bhadra Wildlife Sanctuary	Triveni Sangama	1811874	113921
Bhadra Wildlife Sanctuary	Sri Nimishambha Temple	210675	16288
Bheemeshwari	Bhadra Wildlife Sanctuary	292795	19959
Shivanasamudra	Bhadra Wildlife Sanctuary	311752	20994
Kumara Parvatha	Bhadra Wildlife Sanctuary	199058	17585
Ranibennur Blackbuck Sanctuary	Dandeli Wildlife Sanctuary	170260	14690
Ranibennur Blackbuck Sanctuary	Ranganathittu Bird Sanctuary	323461	23520
Ranibennur Blackbuck Sanctuary	Dubare Reserve Forest	322358	24711
Ranibennur Blackbuck Sanctuary	Daroji Bear Sanctuary	168067	14358
Ranibennur Blackbuck Sanctuary	Bannerghatta National Park	328569	20705
Ranibennur Blackbuck Sanctuary	Rajiv Gandhi National Park	369119	27623
Ranibennur Blackbuck Sanctuary	Adichunchanagiri Peacock Sanctuary	281402	20003
Bandipur National Park	Ranibennur Blackbuck Sanctuary	412425	29904
Ranibennur Blackbuck Sanctuary	Cauvery Wildlife Sanctuary	478662	32945
Ranibennur Blackbuck Sanctuary	Someshwara Wildlife Sanctuary	199629	15919
Gokarna Beach	Ranibennur Blackbuck Sanctuary	198975	16325
Ranibennur Blackbuck Sanctuary	Marwanthe Beach	210307	17176
Ranibennur Blackbuck Sanctuary	Karwar Beach	230341	17449
Ranibennur Blackbuck Sanctuary	Malpe Beach	238714	18831
Ranibennur Blackbuck Sanctuary	Suratkal Beach	274323	21259
Ranibennur Blackbuck Sanctuary	Murdeshwar Beach	209788	17260
Ranibennur Blackbuck Sanctuary	Dharmasthala Sri Manjunatha Swamy Temple	258917	22734
Ranibennur Blackbuck Sanctuary	Kukke Subrahmanya	314543	24080
Murudeshwar Temple	Ranibennur Blackbuck Sanctuary	210124	17373
Ranibennur Blackbuck Sanctuary	Basaveshwara Temple Basavakalyan	510611	39362
Ranibennur Blackbuck Sanctuary	Shree Kshethra Rajarajeshwari Temple,Polali	270016	21610
Ranibennur Blackbuck Sanctuary	Bylakuppe Budda Temple	311160	23719
Ranibennur Blackbuck Sanctuary	Talakadu	379691	24514
Ranibennur Blackbuck Sanctuary	Sri Veeranarayana Swamy Temple	198031	14566
Ranibennur Blackbuck Sanctuary	Sri Gavi Gangadeshwara Temple	313416	20411
Ranibennur Blackbuck Sanctuary	Kotilingeshwara Temple	402462	26564
Krishna Temple Devasthan, Udupi	Ranibennur Blackbuck Sanctuary	232708	18610
Halebeedu Hoysaleswara Temple	Ranibennur Blackbuck Sanctuary	205151	14780
Ranibennur Blackbuck Sanctuary	Bidar	564394	41445
Ranibennur Blackbuck Sanctuary	Bangalore Palace	305749	19691
Ranibennur Blackbuck Sanctuary	Beluru Sri Chennakeshava Temple	221335	16026
Ranibennur Blackbuck Sanctuary	Chitradurga Fort	107335	8106
Bijapur	Ranibennur Blackbuck Sanctuary	312045	22772
Ranibennur Blackbuck Sanctuary	Badami	219958	16282
Ranibennur Blackbuck Sanctuary	Mysore Palace	333835	24586
Ranibennur Blackbuck Sanctuary	Somnathpur	381587	24344
Ranibennur Blackbuck Sanctuary	Pattadakal	199731	17713
Ranibennur Blackbuck Sanctuary	Hampi	162356	13825
Ranibennur Blackbuck Sanctuary	Bangalore Fort	314323	20566
Bellary Fort	Ranibennur Blackbuck Sanctuary	200110	17053
Ranibennur Blackbuck Sanctuary	Tipu Sultan's Summer Palace	314390	20545
Ranibennur Blackbuck Sanctuary	BR Hills	421515	28617
Ranibennur Blackbuck Sanctuary	Baba Budan Giri	232724	18016
Ranibennur Blackbuck Sanctuary	Basavakalyan Fort	511511	39494
Ranibennur Blackbuck Sanctuary	Horanadu Annapoorneshwari Temple	221226	19255
Kukke Subramanya Temple	Ranibennur Blackbuck Sanctuary	314543	24080
Ranibennur Blackbuck Sanctuary	Shivagange	266876	16740
Ranibennur Blackbuck Sanctuary	Aihole	210519	18540
Ranibennur Blackbuck Sanctuary	Gulbarga	445197	33325
Ranibennur Blackbuck Sanctuary	Balmuri Falls	323878	23972
Ranibennur Blackbuck Sanctuary	Triveni Sangama	1794679	113326
Ranibennur Blackbuck Sanctuary	Sri Nimishambha Temple	321644	23311
Ranibennur Blackbuck Sanctuary	Bheemeshwari	317405	20789
Shivanasamudra	Ranibennur Blackbuck Sanctuary	381195	24563
Ranibennur Blackbuck Sanctuary	Kumara Parvatha	315914	24898
Ranganathittu Bird Sanctuary	Dandeli Wildlife Sanctuary	475609	36096
Dubare Reserve Forest	Dandeli Wildlife Sanctuary	474507	37287
Daroji Bear Sanctuary	Dandeli Wildlife Sanctuary	244476	22421
Bannerghatta National Park	Dandeli Wildlife Sanctuary	480718	33281
Rajiv Gandhi National Park	Dandeli Wildlife Sanctuary	521268	40199
